0,1,2,3
,corrosion,,
,,,Not Applicable
15.19,State the average corrosion condition of all the panels: Heavy corrosion,,
,,,Not Applicable
16,To test the arc detection and smoke dete,,
16.01,To test the arc detection sensor in the busbar section: Do a check to,OK,
,make sure that the sensor input LED 3 flashes green on the front of the,,
,arc detection relay.,,
16.02,Do a check to make sure that the WTG Trip signal lamp on the,OK,
,switchgear CBP is illuminated (red).,,
16.03,Make sure that there is no alarm on the protection relay or on the front,OK,
,of the CBP.,,
16.04,To prepare the transformer room for the test of arc detection sensors:,OK,
,Prepare the transformer room for the test of arc detection sensors.,,
16.05,To test the arc detection sensors in the transformer room: Make sure,OK,
,that sensor inputs LED 1 and LED 2 flash green on the front of the arc,,
,detection relay.,,
16.06,Make sure that the LED WTG Trip on the front of the CBP on the HV,OK,
,switchgear is turned on.,,
16.07,To do a test of the smoke detection sensor in the nacelle section: Do a,OK,
,test of the -700-02-01-BR1 smoke detection sensor in the nacelle.,,
16.08,Make sure that sensor input LED 4 flashes green on the front of the arc,OK,
,detection relay.,,
16.09,Make sure that the LED WTG Trip on the HV switchgear front is on.       OK,,
16.10,"To examine the smoke detection sensor, spray Solo Aerosol (item no.",OK,
,231082) into the smoke detection sensor.,,
16.11,Make sure that sensor input LED 4 flashes green on the front of the arc,OK,
,detection relay.,,
16.12,Make sure that the LED WTG Trip on the HV switchgear front is on.       OK,,
16.13,Clean the smoke detection sensor with a damp cloth and a solution of,OK,
,dish-washing detergent.,,
16.14,To do a test of the smoke detection sensor in the switchgear section:,OK,
,Do a test of the -700-02-03-BR1 smoke detection sensor in the nacelle.,,
16.15,Make sure that the sensor input LED 5 on the front of the arc detection,OK,
,relay flashes green.,,
16.16,Make sure that the LED WTG Trip on the HV switchgear front is on.       OK,,
16.17,Spray Solo Aerosol (item no. 231082) into the smoke detection sensor,OK,
,to examine the smoke detection sensor.,,
16.18,Make sure that the sensor input LED 5 on the front of the arc detection,OK,
,relay flashes green.,,
16.19,Make sure that the LED WTG Trip on the HV switchgear front is on.       OK,,
16.20,Clean the smoke detection sensor with a damp cloth and a solution of,OK,
,dish-washing detergent.,,
17,Condition of the transformer room in gen,,
17.01,Make sure that the transformer room is clean and without dust and dirt.  OK,,
18,To examine the cooling system in the tra,,
18.01,To examine the PT100 sensors: Make sure that the PT100 sensor,OK,
,cables are secure and kept away from the transformer windings.,,
19,To inspect the HV cables,,
19.01,Examine the HV cable terminations for signs of damage.                         OK,,
19.02,Do a check of the HV end terminals for cracks or other damages.           OK,,
19.03,Examine the connection to the transformer terminal.                                OK,,
20,Mechanical inspection of the transformer,,
20.01,To examine the support blocks: Examine the support blocks for signs of,OK,
,displacement of the top and bottom support blocks or windings.,,
20.02,Make sure that the rubber inserts between the windings and the support,OK,
,"blocks are in their initial positions, if any.",,
20.03,Examine the surface of the top and bottom support blocks for signs of,OK,
,arcing and tracking.,,
20.04,To examine the foundation: Make sure that the insulation plate below,OK,
,the iron core is in the initial position with no signs of displacement.,,
21,Electrical inspection of the transformer,,
21.01,To do the inspection of the HV windings: Examine the surface of the HV,OK,
,"windings for burns, tracking, pollution, cracks, and other irregularities.",,
21.02,Examine the appearance of the lightning arresters.                                  OK,,
21.03,Examine the lower HV terminal for cracks or other signs of weakness,OK,
,caused by the load of the lightning arrester.,,
21.04,"Make sure that the HV busbars, which connect the top and bottom of",OK,
,"the HV winding, are not unintentionally bent in any direction.",,
21.05,Carefully examine the full length of the HV busbars for signs of fatigue,OK,
,and cracks.,,
21.06,To do an inspection of the LV windings and connections: Make sure that,OK,
,all the cables connected to the transformer and to the cable rails in the,,
,transformer room are correctly attached with the LV bolts.,,
21.07,Do a visual examination to make sure that there are no defective cable,OK,
,lugs or signs of hot spots at the connection points.,,
21.08,Examine the cables for wear.                                                                     OK,,
21.09,Examine the clearance (minimum 30 mm) between the top support,OK,
,bracket and the cables.,,
21.10,Examine the LV terminals attached to the iron core with the insulators.   OK,,
21.11,Examine the LV windings for cracks.                                                         OK,,
22,To clean the transformer,,
22.01,To clean the outer surface of the HV windings: Examine the HV,OK,
,windings for signs of discharge activity on the surface.,,
22.02,To clean the lightning arresters: Clean the lightning arresters for dirt and,OK,
,dust.,,
22.03,To clean the cooling system: Clean the cooling system on the LV and,OK,
,HV connection side of the transformer.,,
22.04,"Clean the cooling hoses for dirt and dust, both outside and inside the",OK,
,duct.,,
22.05,Clean the air-distribution box surface.                                                       OK,,
22.06,To clean the HV busbars: Clean the HV busbars for dirt and dust.           OK,,
22.07,To clean the support blocks: Clean the bottom HV support blocks for dirt,OK,
,and dust.,,
22.08,Clean the top HV support blocks for dirt and dust.                                    OK,,
22.09,To clean the cable end terminations: Clean the cable end terminations,OK,
,for dirt and dust.,,
22.10,To clean the inside of the HV winding: Clean the inside of the HV,OK,
,winding with a cloth and a line.,,
22.11,To clean the LV winding: Clean the space between the LV winding and,OK,
,the barrier.,,
23,End of inspection,,
23.01,Make sure that no tools or other loose parts are left behind in the,OK,
,transformer room.,,
25,Final condition assessment of the HV tra,,
25.01,Transformer room: Has there been any sign of water ingress or severe,,
,,243679,61114030
,condensation in the transformer room? Yes:,,
,,,Not Applicable
25.02,Transformer room: Has there been any sign of water ingress or severe,OK,
,condensation in the transformer room? No:,,
25.03,Have there been mechanical damages in the transformer room? Yes:,,
,,,Not Applicable
25.04,Have there been mechanical damages in the transformer room? No:      OK,,
25.05,HV transformer: Has the transformer surface been dirty (for example,,
,"layer of dust, dirt, or salt, and such like) during the inspection? Yes:",,
,,,Not Applicable
25.06,HV transformer: Has the transformer surface been dirty (for example,OK,
,"layer of dust, dirt, or salt, and such like) during the inspection? No:",,
25.07,"Have there been any issues related to the electrical connections, or",,
,terminations in the transformer room? Yes:,,
,,,Not Applicable
25.08,"Have there been any issues related to the electrical connections, or",OK,
,terminations in the transformer room? No:,,
25.09,Have there been signs of electrical discharges on the HV windings and,,
,winding support blocks (discharges notices as black marks or traces on,,
,surfaces)? Yes:,,
,,,Not Applicable
25.10,Have there been signs of electrical discharges on the HV windings and,OK,
,winding support blocks (discharges notices as black marks or traces on,,
,surfaces)? No:,,
25.11,Have there been signs of hot spots on the iron core during the,,
,inspection? Yes:,,
,,,Not Applicable
25.12,Have there been signs of hot spots on the iron core during the,OK,
,inspection? No:,,
25.13,Have there been mechanical damages on HV transformer during the,,
,"inspection (broken delta connections and displacement of: windings,",,
,"support blocks, spacers in LV winding, and such like)? Yes:",,
,,,Not Applicable
25.14,Have there been mechanical damages on HV transformer during the,OK,
,"inspection (broken delta connections and displacement of: windings,",,
,"support blocks, spacers in LV winding, and such like)? No:",,
25.15,HV switchgear and surroundings: Has there been a need for HV,,
,switchgear repairs/maintenance/troubleshooting during the inspection,,
,"(for example, if the switchgear did not trip as intended during the arc",,
,"detection test, repair/maintenance/troubleshooting of the HV switchgear",,
,is required)? Yes:,,
,,,Not Applicable
25.16,HV switchgear and surroundings: Has there been a need for HV,OK,
,switchgear repairs/maintenance/troubleshooting during the inspection,,
,"(for example, if the switchgear did not trip as intended during the arc",,
,"detection test, repair/maintenance/troubleshooting of the HV switchgear",,
,is required)? No:,,
25.17,Are there other aggravating circumstances relating to HV systems in,,
,general? Yes:,,
,,,Not Applicable
25.18,Are there other aggravating circumstances relating to HV systems in,OK,
,general? No:,,
26,General information of the transformer,,
26.01,Transformer manufacturer (as a comment):,,Vestas
26.02,Transformer series no. (as a comment):,,1110070692
26.03,Repairs carried out (as a comment):,,No
