0,1,2,3
7.18,Do a check of the form and function of the power brushes.                      OK,,
7.19,Identify the slip ring unit type: Mersen                                                       OK,,
7.20,Identify the slip ring unit type: BGB,,
,,,Not Applicable
7.21,Do a check of the slip ring surfaces.                                                          OK,,
7.22,Do a check and measure the groove depth for the power brushes.          OK,,
7.23,,"Power brush – 1:                                                                                        66,000",mm
7.24,,"Power brush – 2:                                                                                        67,000",mm
7.25,,"Power brush – 3:                                                                                        67,000",mm
7.26,To check the suction fan and the filter for the PSRS: Do a check of the,OK,
,"suction fan, the filter, and the exhaust hose fitting.",,
7.27,HS coupling: Do a check of the connecting tube.                                      OK,,
7.28,Do a check of the discs.                                                                             OK,,
7.29,Examine the tightness of all the bolts.                                                       OK,,
8,Cooling and conditioning,,
8.01,To do a check of the liquid cooling system: Do a visual inspection of the,OK,
,circulation pump -690-02-G1 for leakage in the shaft seal.,,
8.02,CoolerTop®: Do a check of the CoolerTop® ladder for loose or missing,OK,
,bolts.,,
8.03,Visually examine the fibreglass for cracks along the leading edge.          OK,,
8.04,Visually examine the cooler elements on the CoolerTop® for damage,OK,
,through the skylight.,,
9,Nacelle,,
9.01,Safety functions: Examine the parking brake.                                           OK,,
9.02,Do a test of the shock sensor.                                                                   OK,,
9.03,Nacelle controller cabinets: To do a check of the ++03 CON A controller,OK,
,section: Do a test of the heating element.,,
9.04,Do a test of the safety system batteries.                                                    OK,,
9.05,Do a check of the fan and the air filters.                                                    OK,,
9.06,To do a check of the ++53 CON B controller section: Do a test of the,OK,
,heating element.,,
9.07,Do a check of the fan and the air filters.                                                    OK,,
9.08,To do a check of the ++04++3 busbar cabinet: Do a test of the heating,OK,
,element.,,
9.09,Do a check of the fan and the air filters.                                                    OK,,
9.10,"Do a test of the main circuit breakers (-405-04-F1, -400-04-F1, and",OK,
,-660-02-F4).,,
9.11,To do a check of the ++04++1 VCS converter cabinet: Do a test of the,OK,
,heating element.,,
9.12,Do a check of the air filter.                                                                         OK,,
9.13,Rotating transfer unit: To do a check of the slip ring unit (BGB): Visually,OK,
,examine the slip ring unit for burns and excessive dust.,,
,,243679,61114029
9.14,Do a visual check of the brushes for burns and wear.                               OK,,
9.15,To do a check of the slip ring unit (REKOFA): Visually examine the slip,,
,ring unit for burns and excessive dust.,,
,,,Not Applicable
9.16,Do a visual check of the brushes for burns and wear.,,
,,,Not Applicable
9.17,Nacelle cover: Do a check of the bolts in the nacelle cover assembly for,OK,
,any loose or missing bolts.,,
9.18,Do a check of all the fittings to the nacelle cover for cracks.                     OK,,
9.19,Do a check of the fibreglass for cracks around the fittings.                       OK,,
9.20,Do a check of the fibreglass very carefully for cracks at points of,OK,
,attachment.,,
9.21,To do a check of the anchor points: Do a check of the anchor points.      OK,,
9.22,Do a check of all the bolted connections of the outer anchor points.        OK,,
9.23,Do a check of the anchor points for cracks.                                               OK,,
9.24,Wind sensor: Clean the wind sensor.                                                        OK,,
9.25,Visually examine the cables for damage and wear.                                  OK,,
9.26,"Examine all the wind sensor equipment, the brackets, and the masts for",OK,
,severe damage.,,
9.27,"Do a check of all the wind sensor equipment, the brackets, and the",OK,
,masts for tightness.,,
10,Yaw system,,
10.01,Yaw bearing system: Do a check of spring packages on each yaw,OK,
,beam.,,
,,243679,61114029
10.02,Do a check of the yaw teeth for wear and damage.                                  OK,,
10.03,Yaw lubrication system: Manually lubricate the yaw sliding surface.         OK,,
10.04,Do a check of the automatic lubrication of the yaw sliding surface.          OK,,
10.05,To do the automatic lubrication of the yaw teeth: Fill the grease,OK,
,reservoir on the lubrication pump.,,
10.06,Do a check of the lubrication system.                                                        OK,,
10.07,Examine if all the lubrication wheels are in engagement with the yaw,OK,
,pinion or the yaw ring.,,
10.08,Yaw gear and motor: Do a check of the oil level in the planetary gears,OK,
,and in the worm gears.,,
10.09,Do a check and adjust the brake torque of 2 of the 6 yaw gear motors.   OK,,
10.10,Measured value before adjustment: Left front,,
,,,Not Applicable
10.11,Measured value before adjustment: Right front,,
,,,Not Applicable
10.12,Measured value before adjustment: Left rear,,35nm
10.13,Measured value before adjustment: Right rear,,37 nm
10.14,Measured value before adjustment: Left middle,,
,,,Not Applicable
10.15,Measured value before adjustment: Right middle,,
,,,Not Applicable
10.16,New value after adjustment: Left front,,
,,,Not Applicable
10.17,New value after adjustment: Right front,,
,,243679,61114029
,,,Not Applicable
10.18,New value after adjustment: Left rear,,
,,,Not Applicable
10.19,New value after adjustment: Right rear,,
,,,Not Applicable
10.20,New value after adjustment: Left middle,,
,,,Not Applicable
10.21,New value after adjustment: Right middle,,
,,,Not Applicable
10.22,Do a check for noise or vibration from the yaw gear bearing.                   OK,,
10.23,Do a check if the yaw gears run smoothly.                                                OK,,
11,Service crane,,
11.01,Examine the service crane.                                                                        OK,,
12,High voltage,,
12.01,"Do an inspection of the transformer, the transformer room, and the HV",OK,
,switchgear.,,
13,Service lift and climb assistance,,
13.01,Do a check of the service lift and the climb assistance according to the,OK,
,supplier’s user manual.,,
14,Tower,,
14.01,"Tower: Visually examine the grout and concrete for cracks, scaling, and",OK,
,such like on the outer and inner side of the tower.,,
14.02,To do a check of the anchor bolts in the anchor cage foundation:,OK,
,Visually examine the bolt protection caps.,,
14.03,Visually examine all the anchor bolts for corrosion and/or visible,OK,
,damage.,,
14.04,"Visually examine the foundation anchor bolts for missing, broken, or",OK,
,"loose foundation anchor bolts, and corrosion protection of the",,
,foundation anchor bolts.,,
14.05,To do an inspection of the tower flange bolts: Visually examine for,OK,
,"missing, broken, or loose tower flange bolts, corrosion protection on the",,
,"tower flange bolts and in the tower flange area, and water leakage in",,
,the tower flanges.,,
14.06,Do a check of the tower flange bolts. See 0002-1230 ‘Inspection of,OK,
,pretension in the tower flange bolts’ and fill in SIF 0002-1232 'Inspection,,
,form for check of the tower flange bolts’.,,
14.07,Do a visual check of the ventilation filter at the door of the tower.             OK,,
14.08,Do a check of the tower inside and outside for damage.                           OK,,
14.09,To do a visual inspection of the middle section liquid damper (optional):,OK,
,Do a visual inspection of the liquid level in the barrels.,,
14.10,Do a visual inspection of the barrels for liquid leakage.                             OK,,
14.11,Do a visual inspection of the mechanical components of the damper,OK,
,units and wires.,,
14.12,To do a check of the functionality of the dehumidifier (optional): Do a,OK,
,"check of the function, filter, installation, and state of the connection hose",,
,if the tower is installed with a dehumidifier.,,
14.13,Do a check for possible corrosion and dust (in the steel components).    OK,,
14.14,Tower surface treatment: Do a check of the surface protection of the,OK,
,tower.,,
14.15,Cable and earthing system: Visually examine the cables for damage,OK,
,and wear.,,
14.16,Do a check of the Vestas earthing system.                                               OK,,
,,243679,61114029
14.17,++06 UPS cabinet: Do a check of the settings of the timers and the,OK,
,temperature control devices according to the relay setting document.,,
,"See 0061-1789 ’Relay setting for V100/V110 2,2 MW VCS/VCSS Mk",,
,10D’.,,
14.18,Do a check of the MCBs.                                                                           OK,,
14.19,Visually examine the UPS battery cartridges and the UPS battery packs,OK,
,for leakage.,,
14.20,To do a test of the UPS batteries: Do a test of the UPS batteries.            OK,,
14.21,"Replace the UPS batteries, if necessary. Date (as a comment)",,
,,,Not Applicable
14.22,"Replace the UPS, if necessary. Date (as a comment).",,
,,,Not Applicable
14.23,Do a check of the heating elements.                                                          OK,,
14.24,Examine the fan.                                                                                        OK,,
14.25,Do a check of the air filters in the UPS cabinet.                                        OK,,
14.26,++01 Ground control cabinet: Examine if the heating elements are,OK,
,activated.,,
14.27,"Do a test of the ++01-300-F1, ++01-660-12-F10, and ++01-660-10-F11",OK,
,RCBOs and RCCBs.,,
14.28,Do a check of the contactor switching counter for contactors -695-02-Q1,OK,
,and -695-04-Q1 for number of switching.,,
14.29,Number of switching:,,02 : 896#04 : 920
14.30,++51 Light box: Examine the RCCB ++51-640-02-03-F1 inside the ++51,OK,
,light system control panel.,,
14.31,Visually examine the 12 V batteries for leakage.                                       OK,,
14.32,Examine the function of the emergency light and the 12 V batteries.        OK,,
14.33,Do a check of the air filter in the light box cabinet.                                    OK,,
15,Finish work,,
15.01,"Clean the cabinets, the covers, and the other surfaces for grease spots",OK,
,and finger marks.,,
15.02,Clean grease from the checker plates and the other surfaces.                 OK,,
15.03,Remove the collected grease from the yaw top teeth.                               OK,,
15.04,Clean the tower basement and tower from inside.                                    OK,,
